,ds,yhat_upper,yhat
597,2023-04-11,2.0,1.0
598,2023-04-12,2.0,1.0
599,2023-04-13,2.0,1.0
600,2023-04-14,2.0,1.0
601,2023-04-15,2.0,1.0
602,2023-04-16,2.0,1.0
603,2023-04-17,2.0,1.0
604,2023-04-18,2.0,1.0
605,2023-04-19,2.0,1.0
606,2023-04-20,2.0,1.0
607,2023-04-21,2.0,1.0
608,2023-04-22,2.0,1.0
609,2023-04-23,2.0,1.0
610,2023-04-24,2.0,1.0
611,2023-04-25,2.0,1.0
612,2023-04-26,2.0,1.0
613,2023-04-27,2.0,1.0
614,2023-04-28,2.0,1.0
615,2023-04-29,2.0,1.0
616,2023-04-30,2.0,1.0
617,2023-05-01,2.0,1.0
618,2023-05-02,2.0,1.0
619,2023-05-03,2.0,1.0
620,2023-05-04,2.0,1.0
621,2023-05-05,2.0,1.0
622,2023-05-06,2.0,1.0
623,2023-05-07,2.0,1.0
624,2023-05-08,2.0,1.0
625,2023-05-09,2.0,1.0
626,2023-05-10,2.0,1.0
627,2023-05-11,2.0,1.0
628,2023-05-12,2.0,1.0
629,2023-05-13,2.0,1.0
630,2023-05-14,2.0,1.0
631,2023-05-15,2.0,1.0
632,2023-05-16,2.0,1.0
633,2023-05-17,2.0,1.0
634,2023-05-18,2.0,1.0
635,2023-05-19,2.0,1.0
636,2023-05-20,2.0,1.0
637,2023-05-21,2.0,1.0
638,2023-05-22,3.0,1.0
639,2023-05-23,2.0,1.0
640,2023-05-24,2.0,1.0
641,2023-05-25,2.0,1.0
642,2023-05-26,2.0,1.0
643,2023-05-27,2.0,1.0
644,2023-05-28,2.0,1.0
645,2023-05-29,3.0,1.0
646,2023-05-30,3.0,1.0
647,2023-05-31,3.0,1.0
648,2023-06-01,2.0,1.0
649,2023-06-02,2.0,1.0
650,2023-06-03,2.0,1.0
651,2023-06-04,2.0,1.0
652,2023-06-05,3.0,1.0
653,2023-06-06,2.0,1.0
654,2023-06-07,3.0,1.0
655,2023-06-08,2.0,1.0
656,2023-06-09,2.0,1.0
657,2023-06-10,2.0,1.0
658,2023-06-11,2.0,1.0
659,2023-06-12,2.0,1.0
660,2023-06-13,2.0,1.0
661,2023-06-14,3.0,1.0
662,2023-06-15,2.0,1.0
663,2023-06-16,2.0,1.0
664,2023-06-17,2.0,1.0
665,2023-06-18,2.0,1.0
666,2023-06-19,2.0,1.0
667,2023-06-20,2.0,1.0
668,2023-06-21,2.0,1.0
669,2023-06-22,2.0,1.0
670,2023-06-23,2.0,1.0
671,2023-06-24,2.0,1.0
672,2023-06-25,2.0,1.0
673,2023-06-26,2.0,1.0
674,2023-06-27,2.0,1.0
675,2023-06-28,2.0,1.0
676,2023-06-29,2.0,1.0
677,2023-06-30,2.0,1.0
678,2023-07-01,2.0,1.0
679,2023-07-02,2.0,1.0
680,2023-07-03,2.0,1.0
681,2023-07-04,2.0,1.0
682,2023-07-05,2.0,1.0
683,2023-07-06,2.0,1.0
684,2023-07-07,2.0,1.0
685,2023-07-08,2.0,1.0
686,2023-07-09,2.0,1.0
687,2023-07-10,2.0,1.0
688,2023-07-11,2.0,1.0
689,2023-07-12,2.0,1.0
690,2023-07-13,2.0,1.0
691,2023-07-14,2.0,1.0
692,2023-07-15,2.0,1.0
693,2023-07-16,2.0,1.0
694,2023-07-17,2.0,1.0
695,2023-07-18,2.0,1.0
696,2023-07-19,3.0,1.0
697,2023-07-20,2.0,1.0
698,2023-07-21,2.0,1.0
699,2023-07-22,2.0,1.0
700,2023-07-23,2.0,1.0
701,2023-07-24,3.0,1.0
702,2023-07-25,3.0,2.0
703,2023-07-26,3.0,2.0
704,2023-07-27,2.0,1.0
705,2023-07-28,2.0,1.0
706,2023-07-29,3.0,1.0
707,2023-07-30,3.0,1.0
708,2023-07-31,3.0,2.0
709,2023-08-01,3.0,2.0
710,2023-08-02,3.0,2.0
711,2023-08-03,3.0,1.0
712,2023-08-04,2.0,1.0
713,2023-08-05,3.0,2.0
714,2023-08-06,3.0,2.0
715,2023-08-07,3.0,2.0
716,2023-08-08,3.0,2.0
717,2023-08-09,3.0,2.0
718,2023-08-10,3.0,2.0
719,2023-08-11,3.0,1.0
720,2023-08-12,3.0,2.0
721,2023-08-13,3.0,2.0
722,2023-08-14,3.0,2.0
723,2023-08-15,3.0,2.0
724,2023-08-16,3.0,2.0
725,2023-08-17,3.0,1.0
726,2023-08-18,2.0,1.0
727,2023-08-19,3.0,1.0
728,2023-08-20,3.0,1.0
729,2023-08-21,3.0,2.0
730,2023-08-22,3.0,2.0
731,2023-08-23,2.0,1.0
732,2023-08-24,2.0,1.0
733,2023-08-25,2.0,1.0
734,2023-08-26,2.0,1.0
735,2023-08-27,2.0,1.0
736,2023-08-28,2.0,1.0
737,2023-08-29,2.0,1.0
738,2023-08-30,2.0,1.0
739,2023-08-31,2.0,1.0
740,2023-09-01,2.0,1.0
741,2023-09-02,2.0,1.0
742,2023-09-03,2.0,1.0
743,2023-09-04,2.0,1.0
744,2023-09-05,2.0,1.0
745,2023-09-06,2.0,1.0
746,2023-09-07,2.0,1.0
