Order ID,Customer ID,Order Date,Order Time,Item Serial,Box Type,Delivery Region,Distance (miles),,
1097342,733603,22/08/2021,00:14,30351,Small,South East,70,,
1097343,405061,22/08/2021,07:08,17634,Small,Greater London,32,,
1097344,842139,22/08/2021,10:15,25598,Small,South West,190,,
1097345,211806,22/08/2021,17:05,10104,Small,South West,85,,
1097346,103222,22/08/2021,23:48,03252,Small,Greater London,43,,
1097347,603400,22/08/2021,23:57,62831,Small,Greater London,33,,
1097348,837737,23/08/2021,02:11,90766,Large,West Midlands,143,,
1097349,334749,23/08/2021,04:43,93186,Large,Greater London,45,,
1097350,239710,23/08/2021,11:49,99590,Large,North East,210,,
1097351,730371,23/08/2021,14:03,39952,Small,South West,110,,
1097352,870782,23/08/2021,19:03,20624,Small,South East,72,,
1097353,697945,23/08/2021,20:34,23747,Small,South East,67,,
1097354,862722,23/08/2021,21:56,32892,Small,South Wales,171,,
1097355,701155,24/08/2021,01:24,92044,Large,Greater London,38,,
1097356,932823,24/08/2021,04:54,03194,Small,South Wales,244,,
1097357,569115,24/08/2021,07:20,12419,Small,West Midlands,159,,
1097358,630457,24/08/2021,10:23,21721,Small,East Midlands,83,,
1097359,212427,24/08/2021,12:40,51071,Small,South East,76,,
1097360,326432,24/08/2021,13:13,91003,Large,Greater London,24,,
1097361,103222,24/08/2021,13:25,17655,Small,South East,67,,
1097362,800908,24/08/2021,18:31,17431,Small,Greater London,49,,
1097363,899112,24/08/2021,22:17,80954,Large,South East,68,,
1097364,559521,24/08/2021,23:38,11270,Small,North East,292,,
1097365,281402,25/08/2021,01:13,23845,Small,West Midlands,118,,
1097366,322715,25/08/2021,07:41,07180,Small,South East,79,,
1097367,796456,25/08/2021,12:54,66018,Small,East Midlands,119,,
1097368,988770,25/08/2021,13:17,47086,Small,North Wales,210,,
1097369,706131,25/08/2021,16:39,85902,Large,South East,44,,
1097370,405990,25/08/2021,21:27,55428,Small,Greater London,19,,
1097371,378756,25/08/2021,22:02,37832,Small,South East,49,,
1097372,170561,26/08/2021,03:19,84189,Large,South East,59,,
1097373,188318,26/08/2021,07:55,77674,Large,Greater London,25,,
1097374,892013,26/08/2021,11:23,41953,Small,West Midlands,107,,
1097375,260338,26/08/2021,13:26,24960,Small,West Midlands,125,,
1097376,142521,26/08/2021,21:15,42169,Small,Greater London,13,,
1097377,261311,26/08/2021,22:10,78409,Large,Greater London,5,,
1097378,950702,27/08/2021,00:50,19359,Small,Greater London,25,,
1097379,104011,27/08/2021,07:10,78514,Large,East Midlands,52,,
1097380,458412,27/08/2021,07:30,68757,Small,South East,44,,
1097381,104011,27/08/2021,10:44,33761,Small,East Midlands,42,,
1097382,270488,27/08/2021,17:19,59264,Small,South West,271,,
1097383,979973,27/08/2021,18:05,97018,Large,Greater London,16,,
1097384,103222,27/08/2021,20:35,69138,Small,South West,110,,
1097385,104011,28/08/2021,02:41,96646,Large,East Midlands,82,,
1097386,617548,28/08/2021,05:53,95223,Large,Greater London,32,,
1097387,488070,28/08/2021,13:43,37670,Small,Greater London,40,,
1097388,635746,28/08/2021,17:48,50632,Small,South West,191,,
1097389,636700,28/08/2021,23:06,39555,Small,South West,192,,
1097390,366566,29/08/2021,01:50,23145,Small,North East,197,,
1097391,340083,29/08/2021,05:44,52588,Small,North Wales,280,,
1097392,668609,29/08/2021,09:26,57646,Small,East Midlands,80,,
1097393,859152,29/08/2021,10:32,19769,Small,South West,177,,
1097394,804467,29/08/2021,13:35,74560,Small,South East,44,,
1097395,570814,29/08/2021,18:01,28672,Small,South East,80,,
1097396,957542,30/08/2021,00:44,32471,Small,South East,59,,
1097397,514937,30/08/2021,08:06,56691,Small,South West,250,,
1097398,780622,30/08/2021,12:03,31529,Small,South East,45,,
1097399,526033,30/08/2021,16:02,58550,Small,South East,41,,
1097400,903833,30/08/2021,20:27,18372,Small,Greater London,38,,
1097401,889702,30/08/2021,20:59,09317,Small,West Midlands,89,,
1097402,100131,31/08/2021,03:36,62413,Small,Greater London,18,,
1097403,994428,31/08/2021,10:37,71923,Small,Greater London,31,,
1097404,110996,31/08/2021,14:45,81221,Large,South East,80,,
1097405,531315,31/08/2021,16:41,77568,Large,South West,173,,
1097406,791246,31/08/2021,22:32,31547,Small,East Midlands,87,,
1097407,340168,01/09/2021,04:39,52435,Small,South West,229,,
1097408,855397,01/09/2021,08:49,95030,Large,South East,55,,
1097409,310537,01/09/2021,19:05,66935,Small,Greater London,33,,
1097410,579038,01/09/2021,19:06,02288,Small,South East,58,,
1097411,670856,01/09/2021,23:59,96344,Large,North Wales,176,,
1097412,109212,02/09/2021,13:37,83299,Large,Greater London,38,,
1097413,390110,03/09/2021,01:01,87150,Large,West Midlands,116,,
1097414,103222,03/09/2021,09:44,88248,Large,East Midlands,113,,
1097415,887615,03/09/2021,23:20,62777,Small,Greater London,45,,
1097416,992504,04/09/2021,10:00,12345,Small,South West,173,,
1097417,444925,04/09/2021,13:52,53210,Small,South East,72,,
1097418,742017,04/09/2021,21:23,99277,Large,Greater London,47,,
1097419,687146,05/09/2021,09:10,78280,Large,Greater London,25,,
1097420,100131,05/09/2021,23:14,05082,Small,West Midlands,92,,
1097421,282617,06/09/2021,00:23,40248,Small,East Midlands,62,,
1097422,373722,06/09/2021,13:58,53798,Small,South East,69,,
1097423,808863,06/09/2021,22:34,14588,Small,West Midlands,116,,
1097424,666133,07/09/2021,10:17,60868,Small,South East,42,,
1097425,930292,08/09/2021,01:06,88231,Large,Greater London,13,,
1097426,453405,08/09/2021,14:39,83346,Large,Greater London,11,,
1097427,564119,08/09/2021,18:51,70318,Small,Greater London,40,,
1097428,158729,09/09/2021,06:30,38279,Small,North East,293,,
1097429,110818,09/09/2021,21:22,00743,Small,North East,222,,
1097430,104011,10/09/2021,08:41,07814,Small,Greater London,11,,
1097431,929724,10/09/2021,13:57,29006,Small,East Midlands,103,,
1097432,505799,10/09/2021,14:22,96394,Large,Greater London,34,,
1097433,847225,10/09/2021,23:25,61451,Small,West Midlands,120,,
1097434,882324,11/09/2021,05:11,61716,Small,West Midlands,126,,
1097435,731076,11/09/2021,08:59,06327,Small,South East,42,,
1097436,103222,12/09/2021,00:13,29448,Small,Greater London,40,,
1097437,118733,12/09/2021,07:47,71739,Small,South Wales,249,,
1097438,568609,12/09/2021,23:24,63979,Small,Greater London,34,,
1097439,440735,13/09/2021,00:37,19843,Small,South East,48,,
1097440,723478,13/09/2021,09:15,59566,Small,South West,142,,
1097441,434870,13/09/2021,17:07,17069,Small,West Midlands,99,,
1097442,104011,13/09/2021,21:35,10526,Small,East Midlands,74,,
1097443,781455,13/09/2021,23:07,76145,Large,South West,256,,
1097444,104011,14/09/2021,07:29,95210,Large,East Midlands,99,,
1097445,211530,14/09/2021,19:48,31487,Small,South Wales,226,,
1097446,701563,15/09/2021,11:07,72309,Small,South West,177,,
1097447,274079,16/09/2021,02:19,47001,Small,South Wales,232,,
1097448,166405,16/09/2021,08:17,28328,Small,South East,46,,
1097449,336574,16/09/2021,15:41,31470,Small,Greater London,42,,
1097450,477001,17/09/2021,04:39,36981,Small,South West,150,,
1097451,469826,17/09/2021,13:09,92890,Large,East Midlands,109,,
1097452,987448,18/09/2021,04:37,29739,Small,East Midlands,111,,
1097453,587895,18/09/2021,14:03,91411,Large,Greater London,44,,
1097454,574431,19/09/2021,03:36,48620,Small,North Wales,194,,
1097455,186526,19/09/2021,14:23,39089,Small,Greater London,34,,
